average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
2268.71       	40.796  	43.860  	43.490  	BasketballPass_22
1185.88       	37.380  	41.231  	40.530  	BasketballPass_27
575.78        	34.205  	39.154  	38.182  	BasketballPass_32
262.10        	31.312  	37.317  	36.035  	BasketballPass_37
3662.21       	38.004  	42.596  	43.165  	BQSquare_22
1746.86       	34.063  	40.655  	41.279  	BQSquare_27
744.49        	30.318  	39.300  	39.829  	BQSquare_32
277.08        	26.847  	38.160  	38.434  	BQSquare_37
3612.60       	38.070  	41.118  	42.105  	BlowingBubbles_22
1616.14       	34.535  	38.637  	39.531  	BlowingBubbles_27
673.27        	31.320  	36.573  	37.340  	BlowingBubbles_32
269.16        	28.622  	34.788  	35.532  	BlowingBubbles_37
5251.18       	38.800  	41.462  	41.922  	RaceHorses_22
2738.34       	35.080  	38.712  	39.119  	RaceHorses_27
1288.38       	31.696  	36.616  	36.810  	RaceHorses_32
549.10        	28.852  	34.840  	34.748  	RaceHorses_37
7391.26       	39.976  	42.630  	42.943  	BasketballDrill_22
3520.47       	37.031  	40.287  	40.173  	BasketballDrill_27
1671.85       	34.325  	38.258  	37.849  	BasketballDrill_32
785.40        	31.802  	36.512  	35.885  	BasketballDrill_37
9842.13       	39.120  	42.767  	43.666  	BQMall_22
4770.33       	36.289  	40.900  	41.317  	BQMall_27
2310.47       	33.336  	39.174  	39.263  	BQMall_32
1070.99       	30.516  	37.658  	37.440  	BQMall_37
18930.13      	37.906  	40.628  	41.158  	PartyScene_22
9451.27       	34.055  	37.972  	38.379  	PartyScene_27
4321.76       	30.465  	35.974  	36.292  	PartyScene_32
1718.75       	27.145  	34.395  	34.725  	PartyScene_37
20533.59      	39.107  	41.680  	42.524  	RaceHorsesC_22
10382.83      	35.581  	39.065  	40.137  	RaceHorsesC_27
4709.95       	32.195  	37.124  	38.195  	RaceHorsesC_32
1922.85       	29.136  	35.566  	36.352  	RaceHorsesC_37
3779.40       	42.133  	46.651  	47.959  	FourPeople_22
1360.54       	40.258  	45.222  	46.430  	FourPeople_27
646.33        	37.943  	43.414  	44.588  	FourPeople_32
341.09        	35.218  	41.631  	42.729  	FourPeople_37
3673.84       	42.374  	47.794  	48.464  	Johnny_22
1011.66       	40.749  	46.623  	47.188  	Johnny_27
404.01        	38.759  	44.961  	45.400  	Johnny_32
203.19        	36.471  	42.978  	43.591  	Johnny_37
3225.31       	42.760  	47.204  	48.052  	KristenAndSara_22
1119.78       	40.923  	45.782  	46.620  	KristenAndSara_27
498.39        	38.690  	43.867  	44.835  	KristenAndSara_32
257.99        	36.119  	42.123  	43.052  	KristenAndSara_37
22177.11      	41.827  	43.334  	45.184  	Kimono_22
10821.42      	40.342  	41.852  	43.387  	Kimono_27
5677.92       	38.313  	40.495  	41.960  	Kimono_32
2879.56       	35.883  	39.272  	40.885  	Kimono_37
35484.59      	39.584  	41.949  	43.169  	ParkScene_22
14268.68      	36.870  	39.918  	41.049  	ParkScene_27
5756.71       	34.181  	38.156  	39.551  	ParkScene_32
2328.87       	31.676  	36.689  	38.530  	ParkScene_37
51521.52      	38.505  	40.191  	43.216  	Cactus_22
13828.95      	36.413  	38.800  	41.539  	Cactus_27
5814.27       	34.509  	38.010  	39.858  	Cactus_32
2661.50       	32.260  	37.012  	38.284  	Cactus_37
37893.23      	39.354  	43.848  	45.029  	BasketballDrive_22
13667.27      	37.755  	42.593  	43.039  	BasketballDrive_27
6480.86       	36.097  	41.267  	41.125  	BasketballDrive_32
3290.97       	34.126  	39.971  	39.366  	BasketballDrive_37
72604.81      	38.440  	42.101  	44.080  	BQTerrace_22
22067.93      	35.374  	40.565  	42.800  	BQTerrace_27
6031.41       	33.017  	39.257  	41.632  	BQTerrace_32
1954.39       	30.728  	38.234  	40.615  	BQTerrace_37
46442.77      	41.072  	41.341  	43.745  	Traffic_22
17032.79      	38.486  	39.551  	41.960  	Traffic_27
7005.02       	35.865  	38.043  	40.404  	Traffic_32
3093.42       	33.194  	36.830  	39.143  	Traffic_37
115703.24     	40.254  	44.485  	44.418  	PeopleOnStreet_22
58707.89      	37.298  	42.641  	43.077  	PeopleOnStreet_27
30940.00      	34.444  	40.939  	41.693  	PeopleOnStreet_32
16186.46      	31.654  	39.413  	40.360  	PeopleOnStreet_37
