average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1871.81       	41.482  	44.513  	44.194  	BasketballPass_22
1003.24       	38.095  	41.868  	41.193  	BasketballPass_27
509.12        	34.817  	39.483  	38.665  	BasketballPass_32
244.28        	31.759  	37.565  	36.384  	BasketballPass_37
2759.01       	38.491  	43.221  	43.872  	BQSquare_22
1147.69       	34.639  	41.331  	42.022  	BQSquare_27
435.27        	30.891  	39.578  	40.170  	BQSquare_32
173.84        	27.342  	38.088  	38.588  	BQSquare_37
2953.69       	38.449  	41.510  	42.592  	BlowingBubbles_22
1312.79       	34.955  	39.055  	39.945  	BlowingBubbles_27
573.72        	31.700  	36.928  	37.692  	BlowingBubbles_32
247.20        	28.857  	35.033  	35.637  	BlowingBubbles_37
4234.88       	39.398  	41.859  	42.367  	RaceHorses_22
2236.88       	35.705  	39.125  	39.553  	RaceHorses_27
1114.86       	32.254  	36.924  	37.060  	RaceHorses_32
508.92        	29.256  	34.994  	34.896  	RaceHorses_37
5979.75       	40.575  	43.094  	43.594  	BasketballDrill_22
2973.89       	37.696  	40.813  	40.942  	BasketballDrill_27
1492.11       	34.953  	38.743  	38.582  	BasketballDrill_32
750.60        	32.387  	36.865  	36.313  	BasketballDrill_37
7918.35       	39.670  	43.097  	44.077  	BQMall_22
3876.83       	36.950  	41.145  	41.648  	BQMall_27
1957.37       	34.010  	39.294  	39.350  	BQMall_32
959.94        	31.099  	37.654  	37.395  	BQMall_37
15674.02      	38.355  	41.027  	41.647  	PartyScene_22
7557.48       	34.550  	38.433  	38.845  	PartyScene_27
3526.65       	30.887  	36.321  	36.655  	PartyScene_32
1552.32       	27.531  	34.672  	34.926  	PartyScene_37
17849.31      	39.570  	41.818  	42.730  	RaceHorsesC_22
8729.90       	36.064  	39.239  	40.357  	RaceHorsesC_27
3975.63       	32.619  	37.228  	38.332  	RaceHorsesC_32
1745.76       	29.458  	35.642  	36.406  	RaceHorsesC_37
2962.86       	42.691  	46.845  	48.195  	FourPeople_22
1128.09       	40.818  	45.288  	46.511  	FourPeople_27
565.30        	38.523  	43.246  	44.452  	FourPeople_32
305.65        	35.778  	41.366  	42.429  	FourPeople_37
2921.41       	42.937  	48.051  	48.683  	Johnny_22
788.43        	41.205  	46.767  	47.313  	Johnny_27
335.18        	39.249  	44.888  	45.351  	Johnny_32
166.74        	36.893  	43.019  	43.497  	Johnny_37
2723.61       	43.318  	47.505  	48.408  	KristenAndSara_22
932.69        	41.494  	45.977  	46.859  	KristenAndSara_27
419.96        	39.287  	43.932  	44.883  	KristenAndSara_32
214.24        	36.692  	42.006  	42.896  	KristenAndSara_37
21657.35      	42.086  	43.535  	45.379  	Kimono_22
10768.38      	40.570  	41.951  	43.485  	Kimono_27
5628.17       	38.501  	40.498  	41.990  	Kimono_32
2816.02       	35.978  	39.247  	40.887  	Kimono_37
29714.22      	39.910  	42.095  	43.370  	ParkScene_22
12194.23      	37.233  	40.078  	41.249  	ParkScene_27
5119.68       	34.517  	38.267  	39.662  	ParkScene_32
2127.46       	31.910  	36.756  	38.584  	ParkScene_37
42673.49      	38.823  	40.473  	43.517  	Cactus_22
11937.31      	36.838  	39.077  	41.802  	Cactus_27
5234.67       	34.916  	38.113  	40.071  	Cactus_32
2460.65       	32.616  	37.105  	38.431  	Cactus_37
35659.94      	39.660  	43.998  	45.264  	BasketballDrive_22
12841.93      	37.989  	42.702  	43.253  	BasketballDrive_27
6159.56       	36.323  	41.323  	41.245  	BasketballDrive_32
3153.29       	34.318  	40.034  	39.469  	BasketballDrive_37
65922.24      	38.889  	42.251  	44.319  	BQTerrace_22
15730.56      	35.863  	40.719  	42.976  	BQTerrace_27
3855.52       	33.710  	39.327  	41.658  	BQTerrace_32
1274.49       	31.611  	38.124  	40.433  	BQTerrace_37
37565.72      	41.637  	41.626  	44.107  	Traffic_22
13647.01      	39.022  	39.744  	42.232  	Traffic_27
5747.47       	36.369  	38.177  	40.582  	Traffic_32
2614.59       	33.600  	36.908  	39.208  	Traffic_37
103963.32     	40.732  	44.812  	44.663  	PeopleOnStreet_22
52786.28      	37.792  	42.864  	43.229  	PeopleOnStreet_27
28065.25      	34.993  	40.985  	41.694  	PeopleOnStreet_32
15145.36      	32.191  	39.393  	40.298  	PeopleOnStreet_37
