average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1880.44       	41.593  	44.554  	44.208  	BasketballPass_22
1021.10       	38.278  	41.902  	41.262  	BasketballPass_27
526.77        	35.128  	39.483  	38.713  	BasketballPass_32
259.47        	32.215  	37.607  	36.516  	BasketballPass_37
2704.00       	38.627  	43.337  	44.017  	BQSquare_22
1133.90       	34.894  	41.404  	42.145  	BQSquare_27
439.22        	31.393  	39.645  	40.292  	BQSquare_32
186.62        	28.081  	38.116  	38.631  	BQSquare_37
2947.77       	38.542  	41.527  	42.623  	BlowingBubbles_22
1323.88       	35.169  	39.089  	39.987  	BlowingBubbles_27
591.32        	32.042  	36.997  	37.732  	BlowingBubbles_32
264.06        	29.298  	35.131  	35.797  	BlowingBubbles_37
4213.14       	39.459  	41.852  	42.389  	RaceHorses_22
2245.61       	35.838  	39.127  	39.550  	RaceHorses_27
1124.91       	32.477  	36.940  	37.171  	RaceHorses_32
532.35        	29.617  	35.074  	34.978  	RaceHorses_37
5878.83       	40.717  	43.196  	43.720  	BasketballDrill_22
2941.82       	37.894  	40.981  	41.154  	BasketballDrill_27
1496.52       	35.253  	38.868  	38.742  	BasketballDrill_32
762.87        	32.864  	37.033  	36.513  	BasketballDrill_37
7916.62       	39.730  	43.129  	44.107  	BQMall_22
3905.10       	37.058  	41.196  	41.649  	BQMall_27
1986.67       	34.208  	39.293  	39.375  	BQMall_32
992.94        	31.361  	37.669  	37.417  	BQMall_37
15493.50      	38.413  	41.061  	41.695  	PartyScene_22
7491.13       	34.687  	38.482  	38.903  	PartyScene_27
3526.20       	31.158  	36.395  	36.732  	PartyScene_32
1572.55       	27.952  	34.771  	34.982  	PartyScene_37
17780.49      	39.594  	41.829  	42.742  	RaceHorsesC_22
8645.41       	36.118  	39.255  	40.376  	RaceHorsesC_27
3971.29       	32.775  	37.252  	38.360  	RaceHorsesC_32
1811.94       	29.703  	35.698  	36.517  	RaceHorsesC_37
3015.92       	42.755  	46.848  	48.189  	FourPeople_22
1167.82       	40.941  	45.316  	46.491  	FourPeople_27
602.30        	38.736  	43.253  	44.462  	FourPeople_32
334.51        	36.048  	41.382  	42.497  	FourPeople_37
2984.88       	43.007  	48.035  	48.723  	Johnny_22
831.51        	41.348  	46.780  	47.333  	Johnny_27
369.90        	39.571  	44.909  	45.351  	Johnny_32
197.12        	37.410  	43.088  	43.593  	Johnny_37
2800.49       	43.401  	47.506  	48.413  	KristenAndSara_22
983.07        	41.643  	46.007  	46.894  	KristenAndSara_27
460.51        	39.527  	43.962  	44.930  	KristenAndSara_32
247.19        	37.064  	42.045  	42.927  	KristenAndSara_37
21737.38      	42.103  	43.539  	45.380  	Kimono_22
10832.31      	40.607  	41.952  	43.494  	Kimono_27
5700.21       	38.571  	40.504  	41.987  	Kimono_32
2897.62       	36.110  	39.255  	40.895  	Kimono_37
29765.87      	39.970  	42.108  	43.384  	ParkScene_22
12354.68      	37.381  	40.107  	41.292  	ParkScene_27
5296.91       	34.772  	38.303  	39.701  	ParkScene_32
2284.82       	32.245  	36.795  	38.609  	ParkScene_37
42342.39      	38.847  	40.485  	43.537  	Cactus_22
11935.44      	36.903  	39.086  	41.832  	Cactus_27
5315.72       	35.071  	38.125  	40.105  	Cactus_32
2562.44       	32.919  	37.122  	38.491  	Cactus_37
35682.44      	39.676  	43.998  	45.261  	BasketballDrive_22
12867.93      	38.027  	42.708  	43.263  	BasketballDrive_27
6197.60       	36.418  	41.317  	41.252  	BasketballDrive_32
3220.19       	34.514  	40.039  	39.502  	BasketballDrive_37
65684.46      	38.916  	42.283  	44.346  	BQTerrace_22
15625.18      	35.941  	40.759  	43.017  	BQTerrace_27
3931.91       	33.876  	39.366  	41.694  	BQTerrace_32
1368.35       	31.906  	38.147  	40.442  	BQTerrace_37
37670.40      	41.722  	41.654  	44.137  	Traffic_22
13914.42      	39.189  	39.772  	42.267  	Traffic_27
6033.59       	36.660  	38.216  	40.615  	Traffic_32
2876.07       	34.031  	36.956  	39.235  	Traffic_37
103562.06     	40.769  	44.830  	44.677  	PeopleOnStreet_22
52952.16      	37.877  	42.887  	43.254  	PeopleOnStreet_27
28519.25      	35.161  	41.007  	41.696  	PeopleOnStreet_32
15713.32      	32.510  	39.405  	40.275  	PeopleOnStreet_37
