average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1822.42       	42.391  	44.935  	44.788  	BasketballPass_22
985.91        	38.940  	42.257  	41.806  	BasketballPass_27
503.20        	35.602  	39.700  	39.067  	BasketballPass_32
243.87        	32.539  	37.658  	36.745  	BasketballPass_37
2658.92       	39.602  	43.526  	44.210  	BQSquare_22
1115.30       	35.768  	41.404  	42.052  	BQSquare_27
444.72        	32.062  	39.537  	40.143  	BQSquare_32
183.58        	28.612  	38.104  	38.725  	BQSquare_37
2922.03       	39.349  	41.921  	43.092  	BlowingBubbles_22
1295.38       	35.825  	39.422  	40.339  	BlowingBubbles_27
577.61        	32.501  	37.232  	38.047  	BlowingBubbles_32
250.13        	29.569  	35.147  	35.906  	BlowingBubbles_37
4051.65       	40.568  	42.492  	43.066  	RaceHorses_22
2122.48       	36.781  	39.716  	40.259  	RaceHorses_27
1053.82       	33.162  	37.426  	37.738  	RaceHorses_32
483.37        	30.029  	35.380  	35.456  	RaceHorses_37
5606.89       	40.979  	43.574  	44.208  	BasketballDrill_22
2795.71       	38.063  	41.367  	41.647  	BasketballDrill_27
1398.47       	35.351  	39.108  	39.137  	BasketballDrill_32
697.74        	32.908  	36.795  	36.779  	BasketballDrill_37
7587.51       	40.291  	43.377  	44.499  	BQMall_22
3691.21       	37.612  	41.362  	41.949  	BQMall_27
1855.07       	34.696  	39.435  	39.573  	BQMall_32
915.84        	31.674  	37.688  	37.609  	BQMall_37
15200.06      	39.272  	41.479  	42.136  	PartyScene_22
7436.86       	35.405  	38.719  	39.164  	PartyScene_27
3508.95       	31.671  	36.506  	36.878  	PartyScene_32
1541.85       	28.267  	34.788  	35.003  	PartyScene_37
18619.75      	40.796  	42.322  	43.275  	RaceHorsesC_22
8606.64       	36.988  	39.663  	40.881  	RaceHorsesC_27
3709.80       	33.431  	37.581  	38.880  	RaceHorsesC_32
1623.18       	30.125  	35.952  	36.917  	RaceHorsesC_37
3125.52       	42.947  	46.897  	48.256  	FourPeople_22
1094.25       	41.037  	45.178  	46.479  	FourPeople_27
553.46        	38.730  	42.988  	44.328  	FourPeople_32
301.37        	35.957  	41.066  	42.282  	FourPeople_37
3216.97       	43.237  	48.193  	48.804  	Johnny_22
787.14        	41.462  	46.719  	47.338  	Johnny_27
338.61        	39.580  	44.762  	45.346  	Johnny_32
176.65        	37.333  	42.654  	43.219  	Johnny_37
2894.96       	43.638  	47.597  	48.500  	KristenAndSara_22
934.86        	41.766  	45.972  	46.887  	KristenAndSara_27
426.11        	39.565  	43.813  	44.843  	KristenAndSara_32
222.91        	36.978  	41.985  	42.840  	KristenAndSara_37
20614.71      	42.459  	43.814  	45.755  	Kimono_22
10552.52      	41.073  	42.203  	43.744  	Kimono_27
5557.95       	39.109  	40.703  	42.163  	Kimono_32
2799.38       	36.605  	39.287  	40.941  	Kimono_37
28728.74      	40.481  	42.409  	43.693  	ParkScene_22
11931.51      	37.825  	40.320  	41.395  	ParkScene_27
5134.16       	35.098  	38.379  	39.685  	ParkScene_32
2168.88       	32.432  	36.668  	38.544  	ParkScene_37
44486.92      	39.267  	40.795  	43.821  	Cactus_22
10618.47      	37.199  	39.154  	41.985  	Cactus_27
4827.73       	35.367  	38.144  	40.158  	Cactus_32
2320.49       	33.072  	37.048  	38.443  	Cactus_37
36598.44      	40.160  	44.249  	45.703  	BasketballDrive_22
11764.47      	38.324  	42.964  	43.661  	BasketballDrive_27
5785.41       	36.741  	41.527  	41.596  	BasketballDrive_32
2974.45       	34.783  	39.986  	39.602  	BasketballDrive_37
83440.16      	40.250  	42.481  	44.464  	BQTerrace_22
16975.92      	36.350  	40.800  	42.991  	BQTerrace_27
3867.51       	34.138  	39.156  	41.550  	BQTerrace_32
1334.23       	32.019  	37.872  	40.193  	BQTerrace_37
37685.05      	42.182  	41.968  	44.443  	Traffic_22
13141.07      	39.539  	39.930  	42.400  	Traffic_27
5504.19       	36.907  	38.210  	40.580  	Traffic_32
2557.79       	34.143  	36.715  	39.085  	Traffic_37
103264.10     	41.670  	45.247  	44.967  	PeopleOnStreet_22
49753.13      	38.578  	43.265  	43.540  	PeopleOnStreet_27
26476.83      	35.797  	41.336  	42.028  	PeopleOnStreet_32
14612.38      	33.022  	39.606  	40.599  	PeopleOnStreet_37
