average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1739.02       	42.570  	45.021  	44.854  	BasketballPass_22
943.59        	39.175  	42.347  	41.906  	BasketballPass_27
486.15        	35.833  	39.801  	39.244  	BasketballPass_32
240.42        	32.743  	37.846  	36.975  	BasketballPass_37
2445.47       	39.837  	43.630  	44.343  	BQSquare_22
1042.19       	36.039  	41.453  	42.113  	BQSquare_27
423.39        	32.310  	39.621  	40.205  	BQSquare_32
181.55        	28.911  	37.999  	38.634  	BQSquare_37
2800.97       	39.507  	41.986  	43.146  	BlowingBubbles_22
1249.12       	36.025  	39.484  	40.441  	BlowingBubbles_27
563.32        	32.731  	37.303  	38.156  	BlowingBubbles_32
249.37        	29.773  	35.339  	35.997  	BlowingBubbles_37
3790.66       	40.797  	42.577  	43.166  	RaceHorses_22
1996.09       	37.070  	39.788  	40.352  	RaceHorses_27
1014.04       	33.475  	37.574  	37.890  	RaceHorses_32
472.97        	30.325  	35.592  	35.605  	RaceHorses_37
5249.23       	41.212  	43.670  	44.354  	BasketballDrill_22
2645.82       	38.314  	41.470  	41.820  	BasketballDrill_27
1343.56       	35.592  	39.170  	39.222  	BasketballDrill_32
686.08        	33.124  	37.055  	36.850  	BasketballDrill_37
7206.61       	40.429  	43.453  	44.591  	BQMall_22
3485.14       	37.820  	41.465  	42.059  	BQMall_27
1762.51       	34.954  	39.503  	39.715  	BQMall_32
882.51        	31.945  	37.787  	37.693  	BQMall_37
14284.16      	39.459  	41.543  	42.242  	PartyScene_22
6980.95       	35.646  	38.765  	39.270  	PartyScene_27
3330.60       	31.932  	36.550  	36.964  	PartyScene_32
1504.76       	28.573  	34.901  	35.108  	PartyScene_37
17878.61      	40.882  	42.355  	43.326  	RaceHorsesC_22
8105.77       	37.092  	39.704  	40.948  	RaceHorsesC_27
3492.51       	33.591  	37.677  	38.977  	RaceHorsesC_32
1561.98       	30.331  	36.137  	37.094  	RaceHorsesC_37
2946.48       	42.987  	46.899  	48.254  	FourPeople_22
1074.86       	41.086  	45.168  	46.470  	FourPeople_27
551.11        	38.827  	43.044  	44.368  	FourPeople_32
299.49        	36.045  	41.164  	42.249  	FourPeople_37
3062.25       	43.223  	48.178  	48.798  	Johnny_22
771.61        	41.505  	46.745  	47.328  	Johnny_27
343.21        	39.693  	44.777  	45.283  	Johnny_32
179.41        	37.447  	42.719  	43.279  	Johnny_37
2822.10       	43.659  	47.608  	48.540  	KristenAndSara_22
929.74        	41.819  	46.031  	46.916  	KristenAndSara_27
428.79        	39.647  	43.894  	44.951  	KristenAndSara_32
221.90        	37.092  	41.889  	42.910  	KristenAndSara_37
20455.03      	42.491  	43.798  	45.739  	Kimono_22
10520.96      	41.101  	42.204  	43.741  	Kimono_27
5570.91       	39.139  	40.716  	42.193  	Kimono_32
2808.22       	36.613  	39.368  	41.030  	Kimono_37
27511.08      	40.564  	42.453  	43.758  	ParkScene_22
11551.54      	37.945  	40.379  	41.462  	ParkScene_27
5008.81       	35.220  	38.426  	39.725  	ParkScene_32
2123.84       	32.548  	36.753  	38.593  	ParkScene_37
42624.85      	39.294  	40.755  	43.863  	Cactus_22
10170.29      	37.263  	39.172  	42.023  	Cactus_27
4642.49       	35.463  	38.158  	40.186  	Cactus_32
2239.73       	33.172  	37.089  	38.484  	Cactus_37
35122.99      	40.215  	44.289  	45.766  	BasketballDrive_22
11169.47      	38.398  	43.011  	43.740  	BasketballDrive_27
5456.74       	36.846  	41.592  	41.709  	BasketballDrive_32
2832.75       	34.941  	40.215  	39.918  	BasketballDrive_37
79660.87      	40.196  	42.502  	44.530  	BQTerrace_22
15266.04      	36.279  	40.884  	43.088  	BQTerrace_27
3746.25       	34.170  	39.216  	41.597  	BQTerrace_32
1312.37       	32.093  	37.932  	40.284  	BQTerrace_37
35846.20      	42.296  	41.970  	44.481  	Traffic_22
12571.64      	39.641  	39.944  	42.447  	Traffic_27
5323.64       	37.026  	38.240  	40.625  	Traffic_32
2509.15       	34.272  	36.762  	39.134  	Traffic_37
97877.34      	41.843  	45.329  	45.018  	PeopleOnStreet_22
46388.43      	38.744  	43.297  	43.549  	PeopleOnStreet_27
24728.38      	36.020  	41.362  	41.958  	PeopleOnStreet_32
13772.64      	33.307  	39.663  	40.515  	PeopleOnStreet_37
