average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
2229.95       	40.657  	43.790  	43.357  	BasketballPass_22
1159.44       	37.263  	41.194  	40.470  	BasketballPass_27
557.34        	34.132  	39.120  	38.120  	BasketballPass_32
254.73        	31.277  	37.326  	36.094  	BasketballPass_37
3651.76       	37.688  	42.514  	43.066  	BQSquare_22
1743.71       	33.830  	40.671  	41.221  	BQSquare_27
714.92        	30.111  	39.286  	39.878  	BQSquare_32
258.48        	26.758  	38.188  	38.708  	BQSquare_37
3431.68       	37.817  	40.958  	41.976  	BlowingBubbles_22
1536.36       	34.368  	38.557  	39.466  	BlowingBubbles_27
637.45        	31.242  	36.519  	37.304  	BlowingBubbles_32
255.36        	28.575  	34.766  	35.493  	BlowingBubbles_37
5097.30       	38.581  	41.302  	41.780  	RaceHorses_22
2637.43       	34.926  	38.623  	39.030  	RaceHorses_27
1244.88       	31.617  	36.541  	36.744  	RaceHorses_32
532.66        	28.807  	34.818  	34.681  	RaceHorses_37
7054.37       	39.801  	42.516  	42.851  	BasketballDrill_22
3391.03       	36.926  	40.278  	40.133  	BasketballDrill_27
1613.46       	34.260  	38.231  	37.825  	BasketballDrill_32
765.50        	31.764  	36.445  	35.881  	BasketballDrill_37
9079.14       	39.036  	42.710  	43.557  	BQMall_22
4572.26       	36.206  	40.847  	41.246  	BQMall_27
2240.95       	33.293  	39.136  	39.207  	BQMall_32
1045.91       	30.497  	37.670  	37.376  	BQMall_37
18617.40      	37.595  	40.415  	41.002  	PartyScene_22
9226.84       	33.819  	37.902  	38.324  	PartyScene_27
4141.15       	30.277  	35.937  	36.282  	PartyScene_32
1649.61       	27.065  	34.409  	34.745  	PartyScene_37
19174.04      	38.797  	41.426  	42.329  	RaceHorsesC_22
9706.89       	35.392  	38.937  	40.040  	RaceHorsesC_27
4439.40       	32.069  	37.045  	38.142  	RaceHorsesC_32
1816.97       	29.076  	35.528  	36.325  	RaceHorsesC_37
2934.85       	42.255  	46.763  	47.997  	FourPeople_22
1233.27       	40.343  	45.264  	46.413  	FourPeople_27
622.34        	37.953  	43.421  	44.620  	FourPeople_32
334.35        	35.239  	41.626  	42.741  	FourPeople_37
2744.37       	42.452  	47.903  	48.536  	Johnny_22
852.23        	40.729  	46.618  	47.259  	Johnny_27
380.86        	38.743  	44.947  	45.486  	Johnny_32
198.49        	36.440  	43.128  	43.591  	Johnny_37
2648.35       	42.847  	47.268  	48.108  	KristenAndSara_22
1005.68       	40.972  	45.823  	46.656  	KristenAndSara_27
478.80        	38.706  	43.913  	44.868  	KristenAndSara_32
253.32        	36.096  	42.073  	43.125  	KristenAndSara_37
19962.72      	41.715  	43.216  	45.014  	Kimono_22
10300.81      	40.222  	41.775  	43.301  	Kimono_27
5467.66       	38.221  	40.424  	41.914  	Kimono_32
2791.42       	35.813  	39.259  	40.844  	Kimono_37
31607.80      	39.428  	41.817  	43.050  	ParkScene_22
13224.62      	36.769  	39.845  	41.007  	ParkScene_27
5451.94       	34.127  	38.118  	39.547  	ParkScene_32
2234.14       	31.645  	36.668  	38.507  	ParkScene_37
36105.16      	38.384  	40.121  	43.169  	Cactus_22
12078.06      	36.507  	38.954  	41.487  	Cactus_27
5502.57       	34.491  	38.007  	39.824  	Cactus_32
2568.60       	32.231  	37.011  	38.242  	Cactus_37
30751.23      	39.237  	43.720  	44.837  	BasketballDrive_22
12560.10      	37.662  	42.503  	42.919  	BasketballDrive_27
6240.52       	36.018  	41.184  	41.050  	BasketballDrive_32
3191.04       	34.067  	39.927  	39.329  	BasketballDrive_37
58663.71      	38.065  	41.963  	43.999  	BQTerrace_22
17000.72      	35.305  	40.518  	42.774  	BQTerrace_27
5088.78       	33.001  	39.226  	41.634  	BQTerrace_32
1779.79       	30.759  	38.190  	40.561  	BQTerrace_37
39843.90      	40.974  	41.211  	43.627  	Traffic_22
15457.49      	38.442  	39.485  	41.895  	Traffic_27
6658.01       	35.843  	38.029  	40.390  	Traffic_32
3008.10       	33.179  	36.840  	39.137  	Traffic_37
107022.65     	40.017  	44.391  	44.365  	PeopleOnStreet_22
56099.92      	37.157  	42.574  	43.028  	PeopleOnStreet_27
30051.60      	34.364  	40.883  	41.655  	PeopleOnStreet_32
15850.58      	31.605  	39.385  	40.336  	PeopleOnStreet_37
