average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1838.44       	41.335  	44.404  	44.071  	BasketballPass_22
982.19        	37.980  	41.852  	41.125  	BasketballPass_27
494.68        	34.742  	39.436  	38.552  	BasketballPass_32
238.12        	31.726  	37.438  	36.289  	BasketballPass_37
2750.34       	38.198  	43.130  	43.803  	BQSquare_22
1160.35       	34.416  	41.340  	41.905  	BQSquare_27
419.54        	30.683  	39.529  	40.135  	BQSquare_32
165.36        	27.244  	37.958  	38.491  	BQSquare_37
2818.90       	38.182  	41.340  	42.446  	BlowingBubbles_22
1252.08       	34.765  	39.015  	39.931  	BlowingBubbles_27
547.74        	31.581  	36.923  	37.655  	BlowingBubbles_32
236.36        	28.821  	34.966  	35.666  	BlowingBubbles_37
4077.16       	39.159  	41.653  	42.205  	RaceHorses_22
2154.20       	35.530  	39.022  	39.458  	RaceHorses_27
1067.79       	32.153  	36.840  	37.032  	RaceHorses_32
491.12        	29.205  	34.977  	34.816  	RaceHorses_37
5716.02       	40.377  	42.966  	43.477  	BasketballDrill_22
2862.12       	37.574  	40.753  	40.907  	BasketballDrill_27
1446.49       	34.883  	38.710  	38.492  	BasketballDrill_32
731.37        	32.349  	36.778  	36.317  	BasketballDrill_37
7365.18       	39.516  	43.026  	43.941  	BQMall_22
3732.34       	36.832  	41.118  	41.560  	BQMall_27
1895.14       	33.949  	39.261  	39.302  	BQMall_32
936.95        	31.059  	37.660  	37.388  	BQMall_37
15432.63      	38.045  	40.815  	41.467  	PartyScene_22
7399.56       	34.300  	38.342  	38.746  	PartyScene_27
3393.25       	30.692  	36.286  	36.620  	PartyScene_32
1489.08       	27.443  	34.699  	34.899  	PartyScene_37
16567.92      	39.273  	41.570  	42.532  	RaceHorsesC_22
8144.76       	35.854  	39.111  	40.246  	RaceHorsesC_27
3723.34       	32.476  	37.152  	38.284  	RaceHorsesC_32
1671.21       	29.376  	35.590  	36.396  	RaceHorsesC_37
2424.05       	42.647  	46.880  	48.193  	FourPeople_22
1045.40       	40.832  	45.319  	46.490  	FourPeople_27
549.12        	38.532  	43.241  	44.394  	FourPeople_32
300.56        	35.794  	41.343  	42.344  	FourPeople_37
2288.34       	42.815  	48.074  	48.713  	Johnny_22
684.74        	41.137  	46.766  	47.334  	Johnny_27
319.51        	39.211  	44.905  	45.415  	Johnny_32
163.56        	36.850  	42.930  	43.396  	Johnny_37
2280.06       	43.282  	47.501  	48.413  	KristenAndSara_22
851.59        	41.487  	46.004  	46.879  	KristenAndSara_27
403.91        	39.269  	43.978  	44.918  	KristenAndSara_32
211.44        	36.705  	42.055  	42.914  	KristenAndSara_37
19847.27      	41.947  	43.367  	45.192  	Kimono_22
10312.42      	40.449  	41.849  	43.370  	Kimono_27
5446.36       	38.405  	40.425  	41.922  	Kimono_32
2733.79       	35.913  	39.203  	40.876  	Kimono_37
26888.29      	39.707  	41.945  	43.236  	ParkScene_22
11413.93      	37.100  	40.016  	41.195  	ParkScene_27
4893.54       	34.444  	38.229  	39.622  	ParkScene_32
2053.87       	31.864  	36.728  	38.590  	ParkScene_37
32448.11      	38.590  	40.245  	43.416  	Cactus_22
10739.06      	36.805  	39.081  	41.699  	Cactus_27
4990.69       	34.864  	38.103  	40.012  	Cactus_32
2381.47       	32.575  	37.070  	38.348  	Cactus_37
29728.46      	39.451  	43.892  	45.126  	BasketballDrive_22
11915.52      	37.869  	42.619  	43.144  	BasketballDrive_27
5938.70       	36.232  	41.245  	41.154  	BasketballDrive_32
3062.85       	34.235  	39.954  	39.402  	BasketballDrive_37
54178.92      	38.495  	42.104  	44.216  	BQTerrace_22
12500.15      	35.687  	40.665  	42.949  	BQTerrace_27
3360.24       	33.649  	39.300  	41.648  	BQTerrace_32
1176.15       	31.591  	38.143  	40.394  	BQTerrace_37
32875.25      	41.454  	41.420  	43.962  	Traffic_22
12471.06      	38.936  	39.665  	42.171  	Traffic_27
5458.57       	36.326  	38.168  	40.546  	Traffic_32
2533.25       	33.583  	36.907  	39.185  	Traffic_37
96591.11      	40.443  	44.698  	44.593  	PeopleOnStreet_22
50296.55      	37.625  	42.784  	43.172  	PeopleOnStreet_27
27219.89      	34.903  	40.918  	41.651  	PeopleOnStreet_32
14815.35      	32.142  	39.337  	40.244  	PeopleOnStreet_37
