average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1845.41       	41.437  	44.429  	44.087  	BasketballPass_22
996.36        	38.157  	41.840  	41.148  	BasketballPass_27
510.68        	35.039  	39.440  	38.629  	BasketballPass_32
252.76        	32.155  	37.498  	36.437  	BasketballPass_37
2685.83       	38.340  	43.254  	43.992  	BQSquare_22
1135.42       	34.674  	41.423  	42.039  	BQSquare_27
424.50        	31.147  	39.595  	40.235  	BQSquare_32
176.42        	27.934  	37.989  	38.604  	BQSquare_37
2812.70       	38.268  	41.366  	42.494  	BlowingBubbles_22
1268.91       	34.967  	39.037  	39.936  	BlowingBubbles_27
563.68        	31.921  	36.937  	37.707  	BlowingBubbles_32
252.75        	29.225  	35.173  	35.725  	BlowingBubbles_37
4054.37       	39.226  	41.692  	42.221  	RaceHorses_22
2158.06       	35.672  	39.041  	39.479  	RaceHorses_27
1086.64       	32.365  	36.887  	37.113  	RaceHorses_32
512.42        	29.562  	35.047  	34.925  	RaceHorses_37
5642.08       	40.511  	43.070  	43.581  	BasketballDrill_22
2842.06       	37.780  	40.936  	41.098  	BasketballDrill_27
1447.59       	35.178  	38.841  	38.651  	BasketballDrill_32
745.21        	32.822  	36.915  	36.490  	BasketballDrill_37
7350.62       	39.577  	43.042  	43.968  	BQMall_22
3762.60       	36.950  	41.152  	41.578  	BQMall_27
1927.31       	34.140  	39.287  	39.306  	BQMall_32
971.55        	31.317  	37.697  	37.468  	BQMall_37
15261.98      	38.091  	40.864  	41.513  	PartyScene_22
7333.35       	34.431  	38.401  	38.813  	PartyScene_27
3396.48       	30.942  	36.353  	36.693  	PartyScene_32
1516.07       	27.869  	34.722  	34.934  	PartyScene_37
16515.22      	39.285  	41.568  	42.529  	RaceHorsesC_22
8115.86       	35.907  	39.124  	40.268  	RaceHorsesC_27
3741.47       	32.622  	37.174  	38.305  	RaceHorsesC_32
1703.88       	29.594  	35.664  	36.477  	RaceHorsesC_37
2475.80       	42.698  	46.886  	48.206  	FourPeople_22
1080.60       	40.967  	45.324  	46.497  	FourPeople_27
583.32        	38.728  	43.267  	44.412  	FourPeople_32
329.81        	36.063  	41.353  	42.384  	FourPeople_37
2341.32       	42.872  	48.071  	48.720  	Johnny_22
725.48        	41.306  	46.751  	47.346  	Johnny_27
352.75        	39.532  	44.890  	45.450  	Johnny_32
195.44        	37.351  	42.972  	43.433  	Johnny_37
2342.24       	43.355  	47.506  	48.423  	KristenAndSara_22
897.72        	41.631  	46.003  	46.896  	KristenAndSara_27
444.13        	39.535  	44.039  	44.940  	KristenAndSara_32
243.59        	37.078  	42.126  	42.911  	KristenAndSara_37
19900.57      	41.964  	43.370  	45.199  	Kimono_22
10370.47      	40.485  	41.845  	43.382  	Kimono_27
5517.86       	38.479  	40.432  	41.945  	Kimono_32
2808.46       	36.044  	39.238  	40.891  	Kimono_37
26936.35      	39.769  	41.962  	43.261  	ParkScene_22
11570.76      	37.247  	40.053  	41.226  	ParkScene_27
5053.47       	34.690  	38.264  	39.670  	ParkScene_32
2206.37       	32.205  	36.788  	38.616  	ParkScene_37
32204.68      	38.609  	40.252  	43.433  	Cactus_22
10739.79      	36.872  	39.089  	41.732  	Cactus_27
5073.93       	35.022  	38.114  	40.035  	Cactus_32
2483.98       	32.870  	37.102  	38.412  	Cactus_37
29699.77      	39.464  	43.893  	45.130  	BasketballDrive_22
11941.63      	37.905  	42.630  	43.144  	BasketballDrive_27
5992.26       	36.320  	41.260  	41.178  	BasketballDrive_32
3120.37       	34.440  	39.952  	39.477  	BasketballDrive_37
53816.99      	38.524  	42.149  	44.267  	BQTerrace_22
12404.39      	35.771  	40.729  	43.010  	BQTerrace_27
3441.67       	33.839  	39.355  	41.677  	BQTerrace_32
1275.01       	31.918  	38.162  	40.398  	BQTerrace_37
32998.24      	41.551  	41.445  	43.996  	Traffic_22
12748.87      	39.116  	39.699  	42.205  	Traffic_27
5754.04       	36.627  	38.199  	40.578  	Traffic_32
2807.56       	34.030  	36.946  	39.218  	Traffic_37
96226.31      	40.479  	44.720  	44.608  	PeopleOnStreet_22
50441.34      	37.712  	42.811  	43.196  	PeopleOnStreet_27
27654.93      	35.077  	40.970  	41.670  	PeopleOnStreet_32
15386.28      	32.457  	39.385  	40.270  	PeopleOnStreet_37
