average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1773.90       	42.161  	44.863  	44.634  	BasketballPass_22
950.83        	38.787  	42.156  	41.666  	BasketballPass_27
484.05        	35.495  	39.725  	39.031  	BasketballPass_32
236.04        	32.471  	37.544  	36.665  	BasketballPass_37
2597.67       	39.244  	43.420  	44.091  	BQSquare_22
1088.26       	35.459  	41.405  	42.092  	BQSquare_27
419.92        	31.777  	39.547  	40.176  	BQSquare_32
173.99        	28.424  	38.039  	38.708  	BQSquare_37
2710.67       	38.962  	41.716  	42.903  	BlowingBubbles_22
1217.28       	35.535  	39.351  	40.274  	BlowingBubbles_27
543.25        	32.350  	37.183  	37.932  	BlowingBubbles_32
237.66        	29.515  	35.201  	35.856  	BlowingBubbles_37
3831.81       	40.214  	42.258  	42.845  	RaceHorses_22
2014.81       	36.545  	39.600  	40.110  	RaceHorses_27
1001.27       	33.010  	37.369  	37.651  	RaceHorses_32
464.06        	29.962  	35.333  	35.361  	RaceHorses_37
5337.99       	40.797  	43.451  	44.119  	BasketballDrill_22
2675.20       	37.959  	41.258  	41.596  	BasketballDrill_27
1344.36       	35.270  	39.016  	39.102  	BasketballDrill_32
676.51        	32.860  	36.840  	36.743  	BasketballDrill_37
6951.71       	40.088  	43.256  	44.315  	BQMall_22
3520.32       	37.491  	41.304  	41.822  	BQMall_27
1790.03       	34.607  	39.361  	39.492  	BQMall_32
888.88        	31.612  	37.651  	37.534  	BQMall_37
14681.01      	38.862  	41.212  	41.908  	PartyScene_22
7166.27       	35.071  	38.580  	39.069  	PartyScene_27
3348.36       	31.407  	36.457  	36.825  	PartyScene_32
1469.25       	28.170  	34.755  	34.944  	PartyScene_37
16769.10      	40.321  	41.980  	42.981  	RaceHorsesC_22
7782.12       	36.663  	39.494  	40.740  	RaceHorsesC_27
3430.88       	33.207  	37.494  	38.791  	RaceHorsesC_32
1529.34       	30.009  	35.875  	36.885  	RaceHorsesC_37
2478.06       	42.849  	46.896  	48.242  	FourPeople_22
1014.44       	41.043  	45.102  	46.405  	FourPeople_27
537.63        	38.745  	42.931  	44.271  	FourPeople_32
296.12        	35.942  	41.112  	42.141  	FourPeople_37
2436.16       	43.046  	48.173  	48.763  	Johnny_22
685.92        	41.390  	46.752  	47.344  	Johnny_27
326.85        	39.549  	44.841  	45.246  	Johnny_32
173.45        	37.302  	42.654  	43.177  	Johnny_37
2357.53       	43.550  	47.610  	48.499  	KristenAndSara_22
848.13        	41.738  	45.964  	46.860  	KristenAndSara_27
411.94        	39.563  	43.829  	44.933  	KristenAndSara_32
218.93        	36.979  	41.800  	42.786  	KristenAndSara_37
19037.11      	42.302  	43.619  	45.532  	Kimono_22
10035.04      	40.937  	42.081  	43.609  	Kimono_27
5325.90       	38.994  	40.615  	42.110  	Kimono_32
2691.99       	36.513  	39.231  	40.922  	Kimono_37
25362.69      	40.220  	42.238  	43.546  	ParkScene_22
10967.77      	37.666  	40.236  	41.328  	ParkScene_27
4832.58       	35.009  	38.336  	39.644  	ParkScene_32
2076.82       	32.380  	36.672  	38.510  	ParkScene_37
31199.96      	38.901  	40.398  	43.637  	Cactus_22
9539.74       	37.128  	39.118  	41.877  	Cactus_27
4574.73       	35.296  	38.099  	40.111  	Cactus_32
2239.38       	33.017  	37.015  	38.359  	Cactus_37
29143.66      	39.812  	44.126  	45.533  	BasketballDrive_22
10895.93      	38.170  	42.860  	43.509  	BasketballDrive_27
5546.61       	36.623  	41.461  	41.500  	BasketballDrive_32
2869.63       	34.690  	39.977  	39.543  	BasketballDrive_37
64163.35      	39.464  	42.289  	44.339  	BQTerrace_22
12555.68      	36.080  	40.698  	42.951  	BQTerrace_27
3391.73       	34.062  	39.113  	41.496  	BQTerrace_32
1236.12       	31.993  	37.897  	40.176  	BQTerrace_37
32125.57      	41.971  	41.700  	44.221  	Traffic_22
11771.42      	39.436  	39.813  	42.287  	Traffic_27
5195.99       	36.865  	38.145  	40.530  	Traffic_32
2475.25       	34.122  	36.688  	39.037  	Traffic_37
92505.03      	41.221  	45.113  	44.874  	PeopleOnStreet_22
46464.76      	38.360  	43.173  	43.473  	PeopleOnStreet_27
25371.33      	35.672  	41.296  	41.991  	PeopleOnStreet_32
14230.72      	32.955  	39.571  	40.553  	PeopleOnStreet_37
