average
bitrate(kb/s) 	psnr(Y) 	psnr(U) 	psnr(V)
1694.89       	42.348  	44.932  	44.736  	BasketballPass_22
911.33        	38.982  	42.220  	41.821  	BasketballPass_27
470.02        	35.728  	39.770  	39.142  	BasketballPass_32
233.52        	32.687  	37.698  	36.936  	BasketballPass_37
2397.53       	39.489  	43.489  	44.229  	BQSquare_22
1019.80       	35.720  	41.438  	42.169  	BQSquare_27
401.00        	31.981  	39.602  	40.249  	BQSquare_32
175.42        	28.773  	38.132  	38.556  	BQSquare_37
2598.18       	39.110  	41.797  	42.998  	BlowingBubbles_22
1171.16       	35.720  	39.417  	40.382  	BlowingBubbles_27
531.45        	32.552  	37.233  	38.105  	BlowingBubbles_32
237.89        	29.690  	35.276  	35.980  	BlowingBubbles_37
3580.11       	40.433  	42.341  	42.962  	RaceHorses_22
1901.39       	36.828  	39.643  	40.221  	RaceHorses_27
962.40        	33.303  	37.517  	37.870  	RaceHorses_32
455.58        	30.226  	35.563  	35.564  	RaceHorses_37
5018.97       	41.023  	43.554  	44.257  	BasketballDrill_22
2532.69       	38.196  	41.427  	41.754  	BasketballDrill_27
1293.10       	35.526  	39.096  	39.177  	BasketballDrill_32
663.63        	33.086  	36.995  	36.847  	BasketballDrill_37
6567.49       	40.222  	43.327  	44.381  	BQMall_22
3321.63       	37.697  	41.407  	41.940  	BQMall_27
1696.88       	34.868  	39.498  	39.601  	BQMall_32
857.05        	31.893  	37.793  	37.638  	BQMall_37
13765.78      	39.026  	41.280  	41.989  	PartyScene_22
6720.87       	35.282  	38.664  	39.159  	PartyScene_27
3179.36       	31.660  	36.510  	36.905  	PartyScene_32
1432.13       	28.445  	34.862  	35.082  	PartyScene_37
16165.66      	40.446  	42.033  	43.055  	RaceHorsesC_22
7344.63       	36.793  	39.548  	40.831  	RaceHorsesC_27
3242.76       	33.382  	37.578  	38.916  	RaceHorsesC_32
1473.30       	30.195  	36.096  	37.037  	RaceHorsesC_37
2453.74       	42.916  	46.918  	48.261  	FourPeople_22
1013.07       	41.125  	45.179  	46.471  	FourPeople_27
536.82        	38.825  	43.056  	44.366  	FourPeople_32
296.15        	36.082  	41.121  	42.227  	FourPeople_37
2434.91       	43.085  	48.202  	48.803  	Johnny_22
692.02        	41.451  	46.754  	47.385  	Johnny_27
332.12        	39.667  	44.777  	45.259  	Johnny_32
175.57        	37.386  	42.801  	43.190  	Johnny_37
2363.75       	43.592  	47.621  	48.530  	KristenAndSara_22
857.60        	41.794  	46.036  	46.960  	KristenAndSara_27
415.36        	39.640  	43.948  	44.952  	KristenAndSara_32
217.49        	37.075  	41.943  	42.940  	KristenAndSara_37
19036.82      	42.351  	43.626  	45.542  	Kimono_22
10076.78      	40.983  	42.099  	43.627  	Kimono_27
5370.05       	39.041  	40.624  	42.110  	Kimono_32
2714.12       	36.538  	39.331  	40.977  	Kimono_37
24422.81      	40.318  	42.283  	43.609  	ParkScene_22
10685.44      	37.789  	40.298  	41.380  	ParkScene_27
4723.01       	35.126  	38.371  	39.696  	ParkScene_32
2034.53       	32.492  	36.740  	38.583  	ParkScene_37
30406.44      	38.945  	40.405  	43.673  	Cactus_22
9202.33       	37.195  	39.130  	41.900  	Cactus_27
4409.96       	35.390  	38.121  	40.129  	Cactus_32
2166.77       	33.126  	37.082  	38.474  	Cactus_37
28267.37      	39.872  	44.161  	45.590  	BasketballDrive_22
10321.12      	38.241  	42.907  	43.606  	BasketballDrive_27
5244.74       	36.729  	41.504  	41.630  	BasketballDrive_32
2734.14       	34.836  	40.187  	39.798  	BasketballDrive_37
64755.46      	39.669  	42.374  	44.436  	BQTerrace_22
12103.36      	36.111  	40.817  	43.052  	BQTerrace_27
3388.25       	34.139  	39.219  	41.579  	BQTerrace_32
1240.77       	32.091  	37.922  	40.226  	BQTerrace_37
31152.25      	42.122  	41.737  	44.283  	Traffic_22
11399.23      	39.567  	39.849  	42.337  	Traffic_27
5068.10       	36.997  	38.188  	40.584  	Traffic_32
2442.09       	34.262  	36.748  	39.091  	Traffic_37
87283.97      	41.369  	45.187  	44.909  	PeopleOnStreet_22
43240.19      	38.520  	43.219  	43.465  	PeopleOnStreet_27
23672.49      	35.887  	41.329  	41.945  	PeopleOnStreet_32
13408.52      	33.231  	39.652  	40.479  	PeopleOnStreet_37
